date,ticker,price
2014-03-11,COST,114.71
2014-03-11,NEE,90.96
2014-03-11,NKE,78.8
2014-03-11,CVS,72.7
2014-03-11,AXP,93.2
2014-03-11,MS,31.7
2014-03-11,TWX,67.68
2014-03-11,CHTR,127.74
2014-03-11,LOW,49.46
2014-03-11,BIIB,335.99
2014-03-11,CL,63.29
2014-03-11,MDLZ,34.97
2014-03-11,DUK,69.47
2014-03-11,COP,66.53
2014-03-11,WBA,66.52
2014-03-11,BLK,308.79
2014-03-11,AGN,210.1
2014-03-11,DHR,76.43
2014-03-11,GM,35.18
2014-03-11,GD,108.99
2014-03-11,AIG,50.53
2014-03-11,MET,52.98
2014-03-11,FDX,137.29
2014-03-11,BK,33.22
2014-03-11,RTN,99.15
2014-03-11,SO,42.05
2014-03-11,MON,111.85
2014-03-11,OXY,96.41
2014-03-11,SPG,162.08
2014-03-11,F,15.3
2014-03-11,COF,74.36
2014-03-11,EXC,29.84
2014-03-11,EMR,64.41
2014-03-11,HAL,55.72
2014-03-11,ALL,55.61
2014-03-11,KMI,31.59
2014-03-11,TGT,60.94
2014-03-11,FOXA,32.97
2014-03-11,FOX,32.28
2014-03-12,AAPL,536.61
2014-03-12,MSFT,38.27
2014-03-12,AMZN,370.64
2014-03-12,FB,70.8799
2014-03-12,JNJ,93.6
2014-03-12,BRK_B,125.17
2014-03-12,XOM,94.21
2014-03-12,JPM,57.92
2014-03-12,GOOGL,1207.3
2014-03-12,BAC,17.28
2014-03-12,WFC,48.12
2014-03-12,PG,79.24
2014-03-12,CVX,115.65
2014-03-12,INTC,24.76
2014-03-12,PFE,31.98
2014-03-12,T,32.38
2014-03-12,V,226.1
2014-03-12,UNH,77.6
2014-03-12,HD,80.56
2014-03-12,C,47.98
2014-03-12,KO,38.47
2014-03-12,VZ,46.36
2014-03-12,CMCSA,50.98
2014-03-12,CSCO,21.82
2014-03-12,PEP,82.15
2014-03-12,PM,79.17
2014-03-12,DIS,81.38
2014-03-12,GE,25.76
2014-03-12,ABBV,51.64
2014-03-12,MRK,56.81
2014-03-12,ORCL,38.52
2014-03-12,BA,124.43
2014-03-12,MA,78.34
2014-03-12,MMM,132.57
2014-03-12,MCD,98.71
2014-03-12,WMT,75.53
2014-03-12,IBM,186.22
2014-03-12,MO,36.14
2014-03-12,AMGN,125.98
2014-03-12,HON,93.85
2014-03-12,MDT,59.83
2014-03-12,BMY,55.24
2014-03-12,QCOM,76.97
2014-03-12,TXN,46.43
2014-03-12,ABT,39.66
2014-03-12,UNP,187.54
2014-03-12,GILD,79.72
2014-03-12,ACN,82.75
2014-03-12,UTX,115.81
2014-03-12,SLB,91.17
2014-03-12,GS,169.72
2014-03-12,PCLN,1332.58
2014-03-12,USB,42.09
2014-03-12,SBUX,75.63
2014-03-12,CAT,96.82
2014-03-12,LLY,59.2
2014-03-12,LMT,163.86
2014-03-12,UPS,98.52
2014-03-12,CELG,157.92
2014-03-12,COST,115.21
2014-03-12,NEE,92.19
2014-03-12,NKE,78.97
2014-03-12,CVS,72.88
2014-03-12,AXP,92.9
2014-03-12,MS,31.44
2014-03-12,TWX,67.26
2014-03-12,CHTR,127.27
2014-03-12,LOW,49.38
2014-03-12,BIIB,339.55
2014-03-12,CL,63.22
2014-03-12,MDLZ,34.9
